State,Year,EV,PHEV,HEV,Biodiesel,E85,CNG,Propane,Hydrogen,Methanol,Gasoline,Diesel
Montana,2016,200,200,"9,800",0,"111,700","5,400",0,0,0,"750,600","87,600"
Nebraska,2016,300,600,"14,500",0,"208,300","9,900",0,0,0,"1,468,900","79,800"
Nevada,2016,"2,000","1,400","30,700",0,"138,800","7,100",0,0,0,"1,923,600","83,000"
New Hampshire,2016,400,"1,000","19,200",0,"100,900","1,800",0,0,0,"1,132,600","34,300"
New Jersey,2016,"4,200","5,500","80,900",0,"470,400","4,400",0,0,0,"6,001,300","111,500"
New Mexico,2016,500,600,"20,800",0,"142,300","7,800",0,0,0,"1,375,900","88,400"
New York,2016,"6,100","12,100","166,500",0,"895,500","10,200",0,0,0,"10,013,300","191,300"
North Carolina,2016,"2,900","3,600","107,400",0,"642,800","26,100",0,0,0,"7,095,700","218,900"
North Dakota,2016,0,100,"3,400",0,"118,500","5,100",0,0,0,"566,300","51,900"
Ohio,2016,"2,600","4,400","91,900",0,"909,400","21,600",0,0,0,"8,740,000","209,700"
Oklahoma,2016,600,700,"24,800",0,"599,800","20,300",0,0,0,"3,277,300","171,700"
Oregon,2016,"7,700","4,300","83,300",0,"168,600","15,500",0,0,0,"3,077,900","220,300"
Pennsylvania,2016,"3,200","5,400","103,200",0,"776,400","15,300",0,0,0,"8,767,400","223,100"
Rhode Island,2016,300,600,"11,000",0,"44,300",700,0,0,0,"778,200","14,000"
South Carolina,2016,800,"1,200","39,300",0,"373,900","16,100",0,0,0,"3,814,700","102,900"
South Dakota,2016,100,200,"5,300",0,"113,100","5,700",0,0,0,"667,200","56,200"
Tennessee,2016,"2,600","1,700","48,400",0,"442,400","21,300",0,0,0,"4,772,600","137,900"
Texas,2016,"11,900","8,000","205,800",0,"2,596,600","64,700",0,0,0,"18,245,400","961,200"
Utah,2016,"2,500","1,700","32,700",0,"172,900","10,800",0,0,0,"2,072,100","150,800"
Vermont,2016,300,"1,200","11,600",0,"49,300",800,0,0,0,"521,600","20,200"
Virginia,2016,"3,100","4,200","126,700",0,"463,300","17,900",0,0,0,"6,554,200","168,900"
Washington,2016,"14,900","6,400","143,400",0,"304,100","24,400",0,0,0,"5,329,200","272,100"
West Virginia,2016,100,300,"9,200",0,"150,300","4,400",0,0,0,"1,286,500","52,000"
Wisconsin,2016,"2,600","2,600","61,700",0,"579,200","14,400",0,0,0,"4,500,500","154,400"
Wyoming,2016,100,100,"3,800",0,"64,100","4,800",0,0,0,"448,600","69,900"
